"Sex"	"Item Name"	"Area"	"date"	"value type"	"value"	"flag"
"Total"	"Total claimants"	"ps:AB43 5 - Fraserburgh"	"May 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 5 - Fraserburgh"	"June 2017"	"number"	#	""
"Total"	"Total claimants"	"ps:AB43 5 - Fraserburgh"	"June 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 5 - Fraserburgh"	"July 2017"	"number"	#	""
"Total"	"Total claimants"	"ps:AB43 5 - Fraserburgh"	"July 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 5 - Fraserburgh"	"August 2017"	"number"	#	""
"Total"	"Total claimants"	"ps:AB43 5 - Fraserburgh"	"August 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 5 - Fraserburgh"	"September 2017"	"number"	#	""
"Total"	"Total claimants"	"ps:AB43 5 - Fraserburgh"	"September 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 5 - Fraserburgh"	"October 2017"	"number"	#	""
"Total"	"Total claimants"	"ps:AB43 5 - Fraserburgh"	"October 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 5 - Fraserburgh"	"November 2017"	"number"	#	""
"Total"	"Total claimants"	"ps:AB43 5 - Fraserburgh"	"November 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 5 - Fraserburgh"	"December 2017"	"number"	#	""
"Total"	"Total claimants"	"ps:AB43 5 - Fraserburgh"	"December 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 5 - Fraserburgh"	"January 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB43 5 - Fraserburgh"	"January 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 5 - Fraserburgh"	"February 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB43 5 - Fraserburgh"	"February 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 5 - Fraserburgh"	"March 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB43 5 - Fraserburgh"	"March 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 5 - Fraserburgh"	"April 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB43 5 - Fraserburgh"	"April 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 5 - Fraserburgh"	"May 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB43 5 - Fraserburgh"	"May 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 5 - Fraserburgh"	"June 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB43 5 - Fraserburgh"	"June 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 5 - Fraserburgh"	"July 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB43 5 - Fraserburgh"	"July 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 5 - Fraserburgh"	"August 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB43 5 - Fraserburgh"	"August 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 5 - Fraserburgh"	"September 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB43 5 - Fraserburgh"	"September 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 5 - Fraserburgh"	"October 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB43 5 - Fraserburgh"	"October 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 5 - Fraserburgh"	"November 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB43 5 - Fraserburgh"	"November 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 5 - Fraserburgh"	"December 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB43 5 - Fraserburgh"	"December 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 5 - Fraserburgh"	"January 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB43 5 - Fraserburgh"	"January 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 5 - Fraserburgh"	"February 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB43 5 - Fraserburgh"	"February 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 5 - Fraserburgh"	"March 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB43 5 - Fraserburgh"	"March 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 5 - Fraserburgh"	"April 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB43 5 - Fraserburgh"	"April 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 5 - Fraserburgh"	"May 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB43 5 - Fraserburgh"	"May 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 5 - Fraserburgh"	"June 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB43 5 - Fraserburgh"	"June 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 5 - Fraserburgh"	"July 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB43 5 - Fraserburgh"	"July 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 5 - Fraserburgh"	"August 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB43 5 - Fraserburgh"	"August 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 5 - Fraserburgh"	"September 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB43 5 - Fraserburgh"	"September 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 5 - Fraserburgh"	"October 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB43 5 - Fraserburgh"	"October 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 5 - Fraserburgh"	"November 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB43 5 - Fraserburgh"	"November 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 5 - Fraserburgh"	"December 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB43 5 - Fraserburgh"	"December 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 5 - Fraserburgh"	"January 2020"	"number"	#	""
"Total"	"Total claimants"	"ps:AB43 5 - Fraserburgh"	"January 2020"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 5 - Fraserburgh"	"February 2020"	"number"	#	""
"Total"	"Total claimants"	"ps:AB43 5 - Fraserburgh"	"February 2020"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 5 - Fraserburgh"	"March 2020"	"number"	#	""
"Total"	"Total claimants"	"ps:AB43 5 - Fraserburgh"	"March 2020"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 5 - Fraserburgh"	"April 2020"	"number"	#	""
"Total"	"Total claimants"	"ps:AB43 5 - Fraserburgh"	"April 2020"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 5 - Fraserburgh"	"May 2020"	"number"	#	""
"Total"	"Total claimants"	"ps:AB43 5 - Fraserburgh"	"May 2020"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 6 - Fraserburgh"	"January 2017"	"number"	18	""
"Total"	"Total claimants"	"ps:AB43 6 - Fraserburgh"	"January 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 6 - Fraserburgh"	"February 2017"	"number"	22	""
"Total"	"Total claimants"	"ps:AB43 6 - Fraserburgh"	"February 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 6 - Fraserburgh"	"March 2017"	"number"	16	""
"Total"	"Total claimants"	"ps:AB43 6 - Fraserburgh"	"March 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 6 - Fraserburgh"	"April 2017"	"number"	20	""
"Total"	"Total claimants"	"ps:AB43 6 - Fraserburgh"	"April 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 6 - Fraserburgh"	"May 2017"	"number"	19	""
"Total"	"Total claimants"	"ps:AB43 6 - Fraserburgh"	"May 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 6 - Fraserburgh"	"June 2017"	"number"	18	""
"Total"	"Total claimants"	"ps:AB43 6 - Fraserburgh"	"June 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 6 - Fraserburgh"	"July 2017"	"number"	19	""
"Total"	"Total claimants"	"ps:AB43 6 - Fraserburgh"	"July 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 6 - Fraserburgh"	"August 2017"	"number"	19	""
"Total"	"Total claimants"	"ps:AB43 6 - Fraserburgh"	"August 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 6 - Fraserburgh"	"September 2017"	"number"	14	""
"Total"	"Total claimants"	"ps:AB43 6 - Fraserburgh"	"September 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 6 - Fraserburgh"	"October 2017"	"number"	14	""
"Total"	"Total claimants"	"ps:AB43 6 - Fraserburgh"	"October 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 6 - Fraserburgh"	"November 2017"	"number"	11	""
"Total"	"Total claimants"	"ps:AB43 6 - Fraserburgh"	"November 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 6 - Fraserburgh"	"December 2017"	"number"	12	""
"Total"	"Total claimants"	"ps:AB43 6 - Fraserburgh"	"December 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 6 - Fraserburgh"	"January 2018"	"number"	13	""
"Total"	"Total claimants"	"ps:AB43 6 - Fraserburgh"	"January 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 6 - Fraserburgh"	"February 2018"	"number"	15	""
"Total"	"Total claimants"	"ps:AB43 6 - Fraserburgh"	"February 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 6 - Fraserburgh"	"March 2018"	"number"	15	""
"Total"	"Total claimants"	"ps:AB43 6 - Fraserburgh"	"March 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 6 - Fraserburgh"	"April 2018"	"number"	15	""
"Total"	"Total claimants"	"ps:AB43 6 - Fraserburgh"	"April 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 6 - Fraserburgh"	"May 2018"	"number"	15	""
"Total"	"Total claimants"	"ps:AB43 6 - Fraserburgh"	"May 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 6 - Fraserburgh"	"June 2018"	"number"	13	""
"Total"	"Total claimants"	"ps:AB43 6 - Fraserburgh"	"June 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 6 - Fraserburgh"	"July 2018"	"number"	14	""
"Total"	"Total claimants"	"ps:AB43 6 - Fraserburgh"	"July 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 6 - Fraserburgh"	"August 2018"	"number"	11	""
"Total"	"Total claimants"	"ps:AB43 6 - Fraserburgh"	"August 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 6 - Fraserburgh"	"September 2018"	"number"	9	""
"Total"	"Total claimants"	"ps:AB43 6 - Fraserburgh"	"September 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 6 - Fraserburgh"	"October 2018"	"number"	8	""
"Total"	"Total claimants"	"ps:AB43 6 - Fraserburgh"	"October 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 6 - Fraserburgh"	"November 2018"	"number"	5	""
"Total"	"Total claimants"	"ps:AB43 6 - Fraserburgh"	"November 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 6 - Fraserburgh"	"December 2018"	"number"	6	""
"Total"	"Total claimants"	"ps:AB43 6 - Fraserburgh"	"December 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 6 - Fraserburgh"	"January 2019"	"number"	7	""
"Total"	"Total claimants"	"ps:AB43 6 - Fraserburgh"	"January 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 6 - Fraserburgh"	"February 2019"	"number"	5	""
"Total"	"Total claimants"	"ps:AB43 6 - Fraserburgh"	"February 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 6 - Fraserburgh"	"March 2019"	"number"	5	""
"Total"	"Total claimants"	"ps:AB43 6 - Fraserburgh"	"March 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 6 - Fraserburgh"	"April 2019"	"number"	4	""
"Total"	"Total claimants"	"ps:AB43 6 - Fraserburgh"	"April 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 6 - Fraserburgh"	"May 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB43 6 - Fraserburgh"	"May 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 6 - Fraserburgh"	"June 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB43 6 - Fraserburgh"	"June 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 6 - Fraserburgh"	"July 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB43 6 - Fraserburgh"	"July 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 6 - Fraserburgh"	"August 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB43 6 - Fraserburgh"	"August 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 6 - Fraserburgh"	"September 2019"	"number"	3	""
"Total"	"Total claimants"	"ps:AB43 6 - Fraserburgh"	"September 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 6 - Fraserburgh"	"October 2019"	"number"	4	""
"Total"	"Total claimants"	"ps:AB43 6 - Fraserburgh"	"October 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 6 - Fraserburgh"	"November 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB43 6 - Fraserburgh"	"November 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 6 - Fraserburgh"	"December 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB43 6 - Fraserburgh"	"December 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 6 - Fraserburgh"	"January 2020"	"number"	#	""
"Total"	"Total claimants"	"ps:AB43 6 - Fraserburgh"	"January 2020"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 6 - Fraserburgh"	"February 2020"	"number"	3	""
"Total"	"Total claimants"	"ps:AB43 6 - Fraserburgh"	"February 2020"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 6 - Fraserburgh"	"March 2020"	"number"	3	""
"Total"	"Total claimants"	"ps:AB43 6 - Fraserburgh"	"March 2020"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 6 - Fraserburgh"	"April 2020"	"number"	6	""
"Total"	"Total claimants"	"ps:AB43 6 - Fraserburgh"	"April 2020"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 6 - Fraserburgh"	"May 2020"	"number"	8	""
"Total"	"Total claimants"	"ps:AB43 6 - Fraserburgh"	"May 2020"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 7 - Fraserburgh"	"January 2017"	"number"	20	""
"Total"	"Total claimants"	"ps:AB43 7 - Fraserburgh"	"January 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 7 - Fraserburgh"	"February 2017"	"number"	28	""
"Total"	"Total claimants"	"ps:AB43 7 - Fraserburgh"	"February 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 7 - Fraserburgh"	"March 2017"	"number"	29	""
"Total"	"Total claimants"	"ps:AB43 7 - Fraserburgh"	"March 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 7 - Fraserburgh"	"April 2017"	"number"	30	""
"Total"	"Total claimants"	"ps:AB43 7 - Fraserburgh"	"April 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 7 - Fraserburgh"	"May 2017"	"number"	30	""
"Total"	"Total claimants"	"ps:AB43 7 - Fraserburgh"	"May 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 7 - Fraserburgh"	"June 2017"	"number"	26	""
"Total"	"Total claimants"	"ps:AB43 7 - Fraserburgh"	"June 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 7 - Fraserburgh"	"July 2017"	"number"	22	""
"Total"	"Total claimants"	"ps:AB43 7 - Fraserburgh"	"July 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 7 - Fraserburgh"	"August 2017"	"number"	22	""
"Total"	"Total claimants"	"ps:AB43 7 - Fraserburgh"	"August 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 7 - Fraserburgh"	"September 2017"	"number"	19	""
"Total"	"Total claimants"	"ps:AB43 7 - Fraserburgh"	"September 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 7 - Fraserburgh"	"October 2017"	"number"	14	""
"Total"	"Total claimants"	"ps:AB43 7 - Fraserburgh"	"October 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 7 - Fraserburgh"	"November 2017"	"number"	13	""
"Total"	"Total claimants"	"ps:AB43 7 - Fraserburgh"	"November 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 7 - Fraserburgh"	"December 2017"	"number"	22	""
"Total"	"Total claimants"	"ps:AB43 7 - Fraserburgh"	"December 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 7 - Fraserburgh"	"January 2018"	"number"	20	""
"Total"	"Total claimants"	"ps:AB43 7 - Fraserburgh"	"January 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 7 - Fraserburgh"	"February 2018"	"number"	19	""
"Total"	"Total claimants"	"ps:AB43 7 - Fraserburgh"	"February 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 7 - Fraserburgh"	"March 2018"	"number"	21	""
"Total"	"Total claimants"	"ps:AB43 7 - Fraserburgh"	"March 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 7 - Fraserburgh"	"April 2018"	"number"	19	""
"Total"	"Total claimants"	"ps:AB43 7 - Fraserburgh"	"April 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 7 - Fraserburgh"	"May 2018"	"number"	24	""
"Total"	"Total claimants"	"ps:AB43 7 - Fraserburgh"	"May 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 7 - Fraserburgh"	"June 2018"	"number"	25	""
"Total"	"Total claimants"	"ps:AB43 7 - Fraserburgh"	"June 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 7 - Fraserburgh"	"July 2018"	"number"	19	""
"Total"	"Total claimants"	"ps:AB43 7 - Fraserburgh"	"July 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 7 - Fraserburgh"	"August 2018"	"number"	14	""
"Total"	"Total claimants"	"ps:AB43 7 - Fraserburgh"	"August 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 7 - Fraserburgh"	"September 2018"	"number"	14	""
"Total"	"Total claimants"	"ps:AB43 7 - Fraserburgh"	"September 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 7 - Fraserburgh"	"October 2018"	"number"	15	""
"Total"	"Total claimants"	"ps:AB43 7 - Fraserburgh"	"October 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 7 - Fraserburgh"	"November 2018"	"number"	13	""
"Total"	"Total claimants"	"ps:AB43 7 - Fraserburgh"	"November 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 7 - Fraserburgh"	"December 2018"	"number"	9	""
"Total"	"Total claimants"	"ps:AB43 7 - Fraserburgh"	"December 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 7 - Fraserburgh"	"January 2019"	"number"	9	""
"Total"	"Total claimants"	"ps:AB43 7 - Fraserburgh"	"January 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 7 - Fraserburgh"	"February 2019"	"number"	9	""
"Total"	"Total claimants"	"ps:AB43 7 - Fraserburgh"	"February 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 7 - Fraserburgh"	"March 2019"	"number"	9	""
"Total"	"Total claimants"	"ps:AB43 7 - Fraserburgh"	"March 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 7 - Fraserburgh"	"April 2019"	"number"	7	""
"Total"	"Total claimants"	"ps:AB43 7 - Fraserburgh"	"April 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 7 - Fraserburgh"	"May 2019"	"number"	6	""
"Total"	"Total claimants"	"ps:AB43 7 - Fraserburgh"	"May 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 7 - Fraserburgh"	"June 2019"	"number"	4	""
"Total"	"Total claimants"	"ps:AB43 7 - Fraserburgh"	"June 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 7 - Fraserburgh"	"July 2019"	"number"	4	""
"Total"	"Total claimants"	"ps:AB43 7 - Fraserburgh"	"July 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 7 - Fraserburgh"	"August 2019"	"number"	3	""
"Total"	"Total claimants"	"ps:AB43 7 - Fraserburgh"	"August 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 7 - Fraserburgh"	"September 2019"	"number"	3	""
"Total"	"Total claimants"	"ps:AB43 7 - Fraserburgh"	"September 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 7 - Fraserburgh"	"October 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB43 7 - Fraserburgh"	"October 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 7 - Fraserburgh"	"November 2019"	"number"	3	""
"Total"	"Total claimants"	"ps:AB43 7 - Fraserburgh"	"November 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 7 - Fraserburgh"	"December 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB43 7 - Fraserburgh"	"December 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 7 - Fraserburgh"	"January 2020"	"number"	#	""
"Total"	"Total claimants"	"ps:AB43 7 - Fraserburgh"	"January 2020"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 7 - Fraserburgh"	"February 2020"	"number"	4	""
"Total"	"Total claimants"	"ps:AB43 7 - Fraserburgh"	"February 2020"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 7 - Fraserburgh"	"March 2020"	"number"	4	""
"Total"	"Total claimants"	"ps:AB43 7 - Fraserburgh"	"March 2020"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 7 - Fraserburgh"	"April 2020"	"number"	8	""
"Total"	"Total claimants"	"ps:AB43 7 - Fraserburgh"	"April 2020"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 7 - Fraserburgh"	"May 2020"	"number"	11	""
"Total"	"Total claimants"	"ps:AB43 7 - Fraserburgh"	"May 2020"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 8 - Fraserburgh"	"January 2017"	"number"	18	""
"Total"	"Total claimants"	"ps:AB43 8 - Fraserburgh"	"January 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 8 - Fraserburgh"	"February 2017"	"number"	19	""
"Total"	"Total claimants"	"ps:AB43 8 - Fraserburgh"	"February 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 8 - Fraserburgh"	"March 2017"	"number"	25	""
"Total"	"Total claimants"	"ps:AB43 8 - Fraserburgh"	"March 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 8 - Fraserburgh"	"April 2017"	"number"	25	""
"Total"	"Total claimants"	"ps:AB43 8 - Fraserburgh"	"April 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 8 - Fraserburgh"	"May 2017"	"number"	23	""
"Total"	"Total claimants"	"ps:AB43 8 - Fraserburgh"	"May 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 8 - Fraserburgh"	"June 2017"	"number"	15	""
"Total"	"Total claimants"	"ps:AB43 8 - Fraserburgh"	"June 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 8 - Fraserburgh"	"July 2017"	"number"	11	""
"Total"	"Total claimants"	"ps:AB43 8 - Fraserburgh"	"July 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 8 - Fraserburgh"	"August 2017"	"number"	11	""
"Total"	"Total claimants"	"ps:AB43 8 - Fraserburgh"	"August 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 8 - Fraserburgh"	"September 2017"	"number"	12	""
"Total"	"Total claimants"	"ps:AB43 8 - Fraserburgh"	"September 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 8 - Fraserburgh"	"October 2017"	"number"	10	""
"Total"	"Total claimants"	"ps:AB43 8 - Fraserburgh"	"October 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 8 - Fraserburgh"	"November 2017"	"number"	16	""
"Total"	"Total claimants"	"ps:AB43 8 - Fraserburgh"	"November 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 8 - Fraserburgh"	"December 2017"	"number"	15	""
"Total"	"Total claimants"	"ps:AB43 8 - Fraserburgh"	"December 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 8 - Fraserburgh"	"January 2018"	"number"	21	""
"Total"	"Total claimants"	"ps:AB43 8 - Fraserburgh"	"January 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 8 - Fraserburgh"	"February 2018"	"number"	17	""
"Total"	"Total claimants"	"ps:AB43 8 - Fraserburgh"	"February 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 8 - Fraserburgh"	"March 2018"	"number"	14	""
"Total"	"Total claimants"	"ps:AB43 8 - Fraserburgh"	"March 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 8 - Fraserburgh"	"April 2018"	"number"	12	""
"Total"	"Total claimants"	"ps:AB43 8 - Fraserburgh"	"April 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 8 - Fraserburgh"	"May 2018"	"number"	13	""
"Total"	"Total claimants"	"ps:AB43 8 - Fraserburgh"	"May 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 8 - Fraserburgh"	"June 2018"	"number"	12	""
"Total"	"Total claimants"	"ps:AB43 8 - Fraserburgh"	"June 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 8 - Fraserburgh"	"July 2018"	"number"	10	""
"Total"	"Total claimants"	"ps:AB43 8 - Fraserburgh"	"July 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 8 - Fraserburgh"	"August 2018"	"number"	7	""
"Total"	"Total claimants"	"ps:AB43 8 - Fraserburgh"	"August 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 8 - Fraserburgh"	"September 2018"	"number"	4	""
"Total"	"Total claimants"	"ps:AB43 8 - Fraserburgh"	"September 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 8 - Fraserburgh"	"October 2018"	"number"	5	""
"Total"	"Total claimants"	"ps:AB43 8 - Fraserburgh"	"October 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 8 - Fraserburgh"	"November 2018"	"number"	5	""
"Total"	"Total claimants"	"ps:AB43 8 - Fraserburgh"	"November 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 8 - Fraserburgh"	"December 2018"	"number"	5	""
"Total"	"Total claimants"	"ps:AB43 8 - Fraserburgh"	"December 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB43 8 - Fraserburgh"	"January 2019"	"number"	5	""
"Total"	"Total claimants"	"ps:AB43 8 - Fraserburgh"	"January 2019"	"rate"		"-"
